par_id;prioridade;cve;upstream;fork;categoria;gt_label;auto_uniao;auto_regra_ab;gatilho_ab;anchor;origem_ficha;veredito_humano;sonda_nao_corretiva;observacao;rodada;justificativa_codigo
AliAbutorabi/Synapse::CVE-2024-31208;P5;CVE-2024-31208;element-hq/synapse;AliAbutorabi/Synapse;server;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;visited_chains;gtv2;CORRIGIDO;;;1;
Buzzlabs/synapse::CVE-2024-31208;P5;CVE-2024-31208;element-hq/synapse;Buzzlabs/synapse;server;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;visited_chains;gtv2;CORRIGIDO;;;1;
guillemo12/synapse::CVE-2024-31208;P5;CVE-2024-31208;element-hq/synapse;guillemo12/synapse;server;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;visited_chains;gtv2;CORRIGIDO;;;1;
CommE2E/vodozemac::CVE-2024-40640;P5;CVE-2024-40640;matrix-org/vodozemac;CommE2E/vodozemac;support;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;base64ct::Base64Unpadded;proposta;CORRIGIDO;;;1;
tangowhisky-dev/vodozemac::CVE-2024-40640;P5;CVE-2024-40640;matrix-org/vodozemac;tangowhisky-dev/vodozemac;support;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;base64ct::Base64Unpadded;proposta;CORRIGIDO;;;1;
xsanm/vodozemac::CVE-2024-40640;P5;CVE-2024-40640;matrix-org/vodozemac;xsanm/vodozemac;support;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;base64ct::Base64Unpadded;proposta;CORRIGIDO;;;1;
AliAbutorabi/Synapse::CVE-2025-30355;P5;CVE-2025-30355;element-hq/synapse;AliAbutorabi/Synapse;server;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;filter_pdus_for_valid_depth;proposta;CORRIGIDO;;;1;
Buzzlabs/synapse::CVE-2025-30355;P5;CVE-2025-30355;element-hq/synapse;Buzzlabs/synapse;server;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;filter_pdus_for_valid_depth;proposta;CORRIGIDO;;;1;
guillemo12/synapse::CVE-2025-30355;P5;CVE-2025-30355;element-hq/synapse;guillemo12/synapse;server;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;filter_pdus_for_valid_depth;proposta;CORRIGIDO;;;1;
tchapgouv/matrix-rust-sdk::CVE-2025-48937;P5;CVE-2025-48937;matrix-org/matrix-rust-sdk;tchapgouv/matrix-rust-sdk;sdk;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;Some(i) if i != sender;gtv2;CORRIGIDO;;;1;
AliAbutorabi/Synapse::CVE-2025-61672;P5;CVE-2025-61672;element-hq/synapse;AliAbutorabi/Synapse;server;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;validate_json_object(body, self.KeyUploadRequestBody);gtv2;CORRIGIDO;;;1;
Buzzlabs/synapse::CVE-2025-61672;P5;CVE-2025-61672;element-hq/synapse;Buzzlabs/synapse;server;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;validate_json_object(body, self.KeyUploadRequestBody);gtv2;CORRIGIDO;;;1;
guillemo12/synapse::CVE-2025-61672;P5;CVE-2025-61672;element-hq/synapse;guillemo12/synapse;server;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;validate_json_object(body, self.KeyUploadRequestBody);gtv2;CORRIGIDO;;;1;
Gua-ra/gua-auth-service::CVE-2025-62425;P5;CVE-2025-62425;element-hq/matrix-authentication-service;Gua-ra/gua-auth-service;support;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;(sem anchor de produção);proposta;CORRIGIDO;;;1;
Tween-IM/tween-authentication-service::CVE-2025-62425;P5;CVE-2025-62425;element-hq/matrix-authentication-service;Tween-IM/tween-authentication-service;support;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;(sem anchor de produção);proposta;CORRIGIDO;;;1;
tchapgouv/matrix-authentication-service::CVE-2025-62425;P5;CVE-2025-62425;element-hq/matrix-authentication-service;tchapgouv/matrix-authentication-service;support;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;(sem anchor de produção);proposta;CORRIGIDO;;;1;
H1d3r/element-android::CVE-2025-27606;P6;CVE-2025-27606;element-hq/element-android;H1d3r/element-android;client;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;ignoreLogoutServerError = true;gtv2;CORRIGIDO;;;1;
luki-ev/synod-android::CVE-2025-27606;P6;CVE-2025-27606;element-hq/element-android;luki-ev/synod-android;client;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;ignoreLogoutServerError = true;gtv2;CORRIGIDO;;;1;
validkanaheiuser/element-android::CVE-2025-27606;P6;CVE-2025-27606;element-hq/element-android;validkanaheiuser/element-android;client;CONFIRMED_PATCHED;CORRIGIDO;CORRIGIDO;;ignoreLogoutServerError = true;gtv2;CORRIGIDO;;;1;
