prioridade,cve,upstream,instancia,origem,lang,funcao_alvo,verdito_embeddings,verdito_ast2a,url_gabarito_fix,url_arquivo_fork,veredito_humano,observacao,veredito_ia
DISPUTADO,CVE-2025-23197,matrix-org/matrix-hookshot,yncyrydybyl/matrix-hookshot,fork_pre,typescript,start,CORRIGIDO,CORRIGIDO,https://github.com/matrix-org/matrix-hookshot/commit/e51d8210233ac759e7f7dfebc2c4f1bf6ce94802,https://github.com/yncyrydybyl/matrix-hookshot/commits/HEAD/src/github/GithubInstance.ts,CORRIGIDO,auto(bloco-2B) score=0.434 [sim_pos=1.00 sim_pre=0.57],CORRIGIDO
DISPUTADO,CVE-2025-27146,matrix-org/matrix-appservice-irc,jamesjen/matrix-appservice-irc,fork_pre,typescript,setTopic,CORRIGIDO,CORRIGIDO,https://github.com/matrix-org/matrix-appservice-irc/commit/74f02c8e11f16ed1b355700092c1aa9c036a11bd,https://github.com/jamesjen/matrix-appservice-irc/commits/HEAD/src/irc/BridgedClient.ts,CORRIGIDO,auto(bloco-2B) score=0.245 [sim_pos=1.00 sim_pre=0.75],CORRIGIDO
DISPUTADO,CVE-2025-27146,matrix-org/matrix-appservice-irc,oI0ck/matrix-appservice-irc,fork_pre,typescript,setTopic,CORRIGIDO,CORRIGIDO,https://github.com/matrix-org/matrix-appservice-irc/commit/74f02c8e11f16ed1b355700092c1aa9c036a11bd,https://github.com/oI0ck/matrix-appservice-irc/commits/HEAD/src/irc/BridgedClient.ts,CORRIGIDO,auto(bloco-2B) score=0.245 [sim_pos=1.00 sim_pre=0.75],CORRIGIDO
DISPUTADO,CVE-2025-27606,element-hq/element-android,H1d3r/element-android,fork_pre,kotlin,launchResetPinFlow,CORRIGIDO,CORRIGIDO,https://github.com/element-hq/element-android/commit/87d7fcdc8036a4db4da8c403f87c73a64a546304,https://github.com/H1d3r/element-android/commits/HEAD/vector/src/main/java/im/vector/app/features/pin/PinFragment.kt,CORRIGIDO,auto(bloco-2B) score=0.198 [sim_pos=1.00 sim_pre=0.80],CORRIGIDO
DISPUTADO,CVE-2025-27606,element-hq/element-android,SchildiChat/SchildiChat-android,fork_pre,kotlin,launchResetPinFlow,CORRIGIDO,CORRIGIDO,https://github.com/element-hq/element-android/commit/87d7fcdc8036a4db4da8c403f87c73a64a546304,https://github.com/SchildiChat/SchildiChat-android/commits/HEAD/vector/src/main/java/im/vector/app/features/pin/PinFragment.kt,CORRIGIDO,auto(bloco-2B) score=0.198 [sim_pos=1.00 sim_pre=0.80],CORRIGIDO
DISPUTADO,CVE-2025-27606,element-hq/element-android,bincnc/element-android,fork_pre,kotlin,launchResetPinFlow,CORRIGIDO,CORRIGIDO,https://github.com/element-hq/element-android/commit/87d7fcdc8036a4db4da8c403f87c73a64a546304,https://github.com/bincnc/element-android/commits/HEAD/vector/src/main/java/im/vector/app/features/pin/PinFragment.kt,CORRIGIDO,auto(bloco-2B) score=0.198 [sim_pos=1.00 sim_pre=0.80],CORRIGIDO
DISPUTADO,CVE-2025-48937,matrix-org/matrix-rust-sdk,SchildiChat/matrix-rust-sdk,fork_pre,rust,get_room_event_verification_state,CORRIGIDO,CORRIGIDO,https://github.com/matrix-org/matrix-rust-sdk/commit/13c1d2048286bbabf5e7bc6b015aafee98f04d55,https://github.com/SchildiChat/matrix-rust-sdk/commits/HEAD/crates/matrix-sdk-crypto/src/machine/mod.rs,CORRIGIDO,auto(bloco-2B) score=0.538 [sim_pos=1.00 sim_pre=0.46],CORRIGIDO
DISPUTADO,CVE-2025-48937,matrix-org/matrix-rust-sdk,matrix-construct/matrix-rust-sdk,fork_pre,rust,get_room_event_verification_state,CORRIGIDO,CORRIGIDO,https://github.com/matrix-org/matrix-rust-sdk/commit/13c1d2048286bbabf5e7bc6b015aafee98f04d55,https://github.com/matrix-construct/matrix-rust-sdk/commits/HEAD/crates/matrix-sdk-crypto/src/machine/mod.rs,CORRIGIDO,auto(bloco-2B) score=0.538 [sim_pos=1.00 sim_pre=0.46],CORRIGIDO
DISPUTADO,CVE-2025-48937,matrix-org/matrix-rust-sdk,verji/matrix-rust-sdk,fork_pre,rust,get_room_event_verification_state,CORRIGIDO,CORRIGIDO,https://github.com/matrix-org/matrix-rust-sdk/commit/13c1d2048286bbabf5e7bc6b015aafee98f04d55,https://github.com/verji/matrix-rust-sdk/commits/HEAD/crates/matrix-sdk-crypto/src/machine/mod.rs,CORRIGIDO,auto(bloco-2B) score=0.538 [sim_pos=1.00 sim_pre=0.46],CORRIGIDO
DISPUTADO,CVE-2025-61672,element-hq/synapse,element-hq/synapse @pre-fix,upstream_pre,python,on_POST,VULNERAVEL,CORRIGIDO,https://github.com/element-hq/synapse/commit/26aaaf9e48fff80cf67a20c691c75d670034b3c1 | https://github.com/element-hq/synapse/commit/7069636c2d6d1ef2022287addf3ed8b919ef2740,https://github.com/element-hq/synapse/blob/26aaaf9e48fff80cf67a20c691c75d670034b3c1~1/synapse/rest/client/keys.py,VULNERAVEL,auto(bloco-2B) score=-0.929 [pré-fix (def. vulneravel); sanity sim_pos=0.07 sim_pre=1.00],VULNERAVEL
DISPUTADO,CVE-2025-61672,element-hq/synapse,element-hq/synapse @pre-fix,upstream_pre,python,on_POST,VULNERAVEL,CORRIGIDO,https://github.com/element-hq/synapse/commit/26aaaf9e48fff80cf67a20c691c75d670034b3c1 | https://github.com/element-hq/synapse/commit/7069636c2d6d1ef2022287addf3ed8b919ef2740,https://github.com/element-hq/synapse/blob/26aaaf9e48fff80cf67a20c691c75d670034b3c1~1/synapse/rest/client/keys.py,VULNERAVEL,auto(bloco-2B) score=-0.929 [pré-fix (def. vulneravel); sanity sim_pos=0.07 sim_pre=1.00],VULNERAVEL
DISPUTADO,CVE-2025-61672,element-hq/synapse,kakahu2015/synapse,fork_pre,python,on_POST,VULNERAVEL,CORRIGIDO,https://github.com/element-hq/synapse/commit/26aaaf9e48fff80cf67a20c691c75d670034b3c1 | https://github.com/element-hq/synapse/commit/7069636c2d6d1ef2022287addf3ed8b919ef2740,https://github.com/kakahu2015/synapse/commits/HEAD/synapse/rest/client/keys.py,CORRIGIDO,auto(bloco-2B) score=0.403 [sim_pos=1.00 sim_pre=0.60],CORRIGIDO
DISPUTADO,CVE-2025-61672,element-hq/synapse,kakahu2015/synapse,fork_pre,python,on_POST,VULNERAVEL,CORRIGIDO,https://github.com/element-hq/synapse/commit/26aaaf9e48fff80cf67a20c691c75d670034b3c1 | https://github.com/element-hq/synapse/commit/7069636c2d6d1ef2022287addf3ed8b919ef2740,https://github.com/kakahu2015/synapse/commits/HEAD/synapse/rest/client/keys.py,CORRIGIDO,auto(bloco-2B) score=0.403 [sim_pos=1.00 sim_pre=0.60],CORRIGIDO
DISPUTADO,CVE-2025-61672,element-hq/synapse,microchipster/synapse,fork_pre,python,on_POST,VULNERAVEL,CORRIGIDO,https://github.com/element-hq/synapse/commit/26aaaf9e48fff80cf67a20c691c75d670034b3c1 | https://github.com/element-hq/synapse/commit/7069636c2d6d1ef2022287addf3ed8b919ef2740,https://github.com/microchipster/synapse/commits/HEAD/synapse/rest/client/keys.py,CORRIGIDO,auto(bloco-2B) score=0.403 [sim_pos=1.00 sim_pre=0.60],CORRIGIDO
DISPUTADO,CVE-2025-61672,element-hq/synapse,microchipster/synapse,fork_pre,python,on_POST,VULNERAVEL,CORRIGIDO,https://github.com/element-hq/synapse/commit/26aaaf9e48fff80cf67a20c691c75d670034b3c1 | https://github.com/element-hq/synapse/commit/7069636c2d6d1ef2022287addf3ed8b919ef2740,https://github.com/microchipster/synapse/commits/HEAD/synapse/rest/client/keys.py,CORRIGIDO,auto(bloco-2B) score=0.403 [sim_pos=1.00 sim_pre=0.60],CORRIGIDO
DISPUTADO,CVE-2025-61672,element-hq/synapse,shcherbak/synapse,fork_pre,python,on_POST,VULNERAVEL,CORRIGIDO,https://github.com/element-hq/synapse/commit/26aaaf9e48fff80cf67a20c691c75d670034b3c1 | https://github.com/element-hq/synapse/commit/7069636c2d6d1ef2022287addf3ed8b919ef2740,https://github.com/shcherbak/synapse/commits/HEAD/synapse/rest/client/keys.py,CORRIGIDO,auto(bloco-2B) score=0.403 [sim_pos=1.00 sim_pre=0.60],CORRIGIDO
DISPUTADO,CVE-2025-61672,element-hq/synapse,shcherbak/synapse,fork_pre,python,on_POST,VULNERAVEL,CORRIGIDO,https://github.com/element-hq/synapse/commit/26aaaf9e48fff80cf67a20c691c75d670034b3c1 | https://github.com/element-hq/synapse/commit/7069636c2d6d1ef2022287addf3ed8b919ef2740,https://github.com/shcherbak/synapse/commits/HEAD/synapse/rest/client/keys.py,CORRIGIDO,auto(bloco-2B) score=0.403 [sim_pos=1.00 sim_pre=0.60],CORRIGIDO
DISPUTADO,CVE-2025-66622,matrix-org/matrix-rust-sdk,SchildiChat/matrix-rust-sdk,fork_pre,rust,handle_state_event,CORRIGIDO,CORRIGIDO,https://github.com/matrix-org/matrix-rust-sdk/commit/4ea0418abefab2aa93f8851a4d39c723e703e6b0,https://github.com/SchildiChat/matrix-rust-sdk/commits/HEAD/crates/matrix-sdk-base/src/room/room_info.rs,CORRIGIDO,auto(bloco-2B) score=0.401 [sim_pos=1.00 sim_pre=0.60],CORRIGIDO
DISPUTADO,CVE-2025-66622,matrix-org/matrix-rust-sdk,matrix-construct/matrix-rust-sdk,fork_pre,rust,handle_state_event,CORRIGIDO,CORRIGIDO,https://github.com/matrix-org/matrix-rust-sdk/commit/4ea0418abefab2aa93f8851a4d39c723e703e6b0,https://github.com/matrix-construct/matrix-rust-sdk/commits/HEAD/crates/matrix-sdk-base/src/room/room_info.rs,CORRIGIDO,auto(bloco-2B) score=0.401 [sim_pos=1.00 sim_pre=0.60],CORRIGIDO
DISPUTADO,CVE-2025-66622,matrix-org/matrix-rust-sdk,matrix-org/matrix-rust-sdk @pre-fix,upstream_pre,rust,handle_state_event,VULNERAVEL,CORRIGIDO,https://github.com/matrix-org/matrix-rust-sdk/commit/4ea0418abefab2aa93f8851a4d39c723e703e6b0,https://github.com/matrix-org/matrix-rust-sdk/blob/4ea0418abefab2aa93f8851a4d39c723e703e6b0~1/crates/matrix-sdk-base/src/room/room_info.rs,VULNERAVEL,auto(bloco-2B) score=-0.533 [pré-fix (def. vulneravel); sanity sim_pos=0.47 sim_pre=1.00],VULNERAVEL
DISPUTADO,CVE-2025-66622,matrix-org/matrix-rust-sdk,verji/matrix-rust-sdk,fork_pre,rust,handle_state_event,CORRIGIDO,CORRIGIDO,https://github.com/matrix-org/matrix-rust-sdk/commit/4ea0418abefab2aa93f8851a4d39c723e703e6b0,https://github.com/verji/matrix-rust-sdk/commits/HEAD/crates/matrix-sdk-base/src/room/room_info.rs,CORRIGIDO,auto(bloco-2B) score=0.401 [sim_pos=1.00 sim_pre=0.60],CORRIGIDO
ok,CVE-2023-43656,matrix-org/matrix-hookshot,matrix-org/matrix-hookshot @pre-fix,upstream_pre,typescript,executeTransformationFunction,VULNERAVEL,VULNERAVEL,https://github.com/matrix-org/matrix-hookshot/commit/dc126afa6af86d66aefcd23a825326f405bcc894,https://github.com/matrix-org/matrix-hookshot/blob/dc126afa6af86d66aefcd23a825326f405bcc894~1/src/Connections/GenericHook.ts,VULNERAVEL,auto(bloco-2B) score=-0.807 [pré-fix (def. vulneravel); sanity sim_pos=0.19 sim_pre=1.00],VULNERAVEL
ok,CVE-2024-31208,element-hq/synapse,element-hq/synapse @pre-fix,upstream_pre,python,exists_path_from,VULNERAVEL,VULNERAVEL,https://github.com/element-hq/synapse/commit/55b0aa847a61774b6a3acdc4b177a20dc019f01a,https://github.com/element-hq/synapse/blob/55b0aa847a61774b6a3acdc4b177a20dc019f01a~1/synapse/storage/databases/main/events.py,VULNERAVEL,auto(bloco-2B) score=-0.544 [pré-fix (def. vulneravel); sanity sim_pos=0.46 sim_pre=1.00],VULNERAVEL
ok,CVE-2024-34353,matrix-org/matrix-rust-sdk,SchildiChat/matrix-rust-sdk,fork_pre,rust,test_generation_counter_invalidates_olm_machine,VULNERAVEL,VULNERAVEL,https://github.com/matrix-org/matrix-rust-sdk/commit/71136e44c03c79f80d6d1a2446673bc4d53a2067 | https://github.com/matrix-org/matrix-rust-sdk/commit/fa10bbb5dd0f9120a51aa1854cec752e25790bb0,https://github.com/SchildiChat/matrix-rust-sdk/commits/HEAD/crates/matrix-sdk-crypto/src/machine.rs | https://github.com/SchildiChat/matrix-rust-sdk/commits/HEAD/crates/matrix-sdk/src/encryption/mod.rs,VULNERAVEL,auto(bloco-2B) score=-0.863 [sim_pos=0.14 sim_pre=1.00],VULNERAVEL
ok,CVE-2024-34353,matrix-org/matrix-rust-sdk,matrix-construct/matrix-rust-sdk,fork_pre,rust,test_generation_counter_invalidates_olm_machine,VULNERAVEL,VULNERAVEL,https://github.com/matrix-org/matrix-rust-sdk/commit/71136e44c03c79f80d6d1a2446673bc4d53a2067 | https://github.com/matrix-org/matrix-rust-sdk/commit/fa10bbb5dd0f9120a51aa1854cec752e25790bb0,https://github.com/matrix-construct/matrix-rust-sdk/commits/HEAD/crates/matrix-sdk-crypto/src/machine.rs | https://github.com/matrix-construct/matrix-rust-sdk/commits/HEAD/crates/matrix-sdk/src/encryption/mod.rs,VULNERAVEL,auto(bloco-2B) score=-0.863 [sim_pos=0.14 sim_pre=1.00],VULNERAVEL
ok,CVE-2024-34353,matrix-org/matrix-rust-sdk,matrix-org/matrix-rust-sdk @pre-fix,upstream_pre,rust,test_generation_counter_invalidates_olm_machine,VULNERAVEL,VULNERAVEL,https://github.com/matrix-org/matrix-rust-sdk/commit/71136e44c03c79f80d6d1a2446673bc4d53a2067 | https://github.com/matrix-org/matrix-rust-sdk/commit/fa10bbb5dd0f9120a51aa1854cec752e25790bb0,https://github.com/matrix-org/matrix-rust-sdk/blob/71136e44c03c79f80d6d1a2446673bc4d53a2067~1/crates/matrix-sdk-crypto/src/machine.rs | https://github.com/matrix-org/matrix-rust-sdk/blob/71136e44c03c79f80d6d1a2446673bc4d53a2067~1/crates/matrix-sdk/src/encryption/mod.rs,VULNERAVEL,auto(bloco-2B) score=-0.863 [pré-fix (def. vulneravel); sanity sim_pos=0.14 sim_pre=1.00],VULNERAVEL
ok,CVE-2024-34353,matrix-org/matrix-rust-sdk,verji/matrix-rust-sdk,fork_pre,rust,test_generation_counter_invalidates_olm_machine,VULNERAVEL,VULNERAVEL,https://github.com/matrix-org/matrix-rust-sdk/commit/71136e44c03c79f80d6d1a2446673bc4d53a2067 | https://github.com/matrix-org/matrix-rust-sdk/commit/fa10bbb5dd0f9120a51aa1854cec752e25790bb0,https://github.com/verji/matrix-rust-sdk/commits/HEAD/crates/matrix-sdk-crypto/src/machine.rs | https://github.com/verji/matrix-rust-sdk/commits/HEAD/crates/matrix-sdk/src/encryption/mod.rs,VULNERAVEL,auto(bloco-2B) score=-0.863 [sim_pos=0.14 sim_pre=1.00],VULNERAVEL
